procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  4      0 129329440   5928 282868    0    0     1     4    4    2  1  0 98  0  0
17  1      0 129316880   6476 287584    0    0  4696 14240 10022 182559  5  2 88  5  0
19  1      0 129314480   6604 288824    0    0     0 27236 14025 1431559 33 13 52  2  0
18  1      0 129312816   6716 289016    0    0     0 23644 12404 1438707 33 13 53  2  0
17  2      0 129312640   6824 289488    0    0     4 22176 12602 1434421 33 13 53  2  0
19  1      0 129312232   6936 289976    0    0     8 22156 16695 1513214 34 12 53  2  0
19  1      0 129311504   7068 290692    0    0     4 26348 16176 1421699 33 12 53  1  0
19  1      0 129310712   7192 290776    0    0    12 20940 13908 1430604 33 13 53  2  0
21  0      0 129310456   7248 290924    0    0     0  4344 11919 1458055 32 13 54  1  0
18  0      0 129310528   7256 290896    0    0     0    20 11013 1472605 33 13 54  0  0
21  0      0 129310400   7256 290920    0    0     0    48 11485 1482068 32 14 54  0  0
17  0      0 129310536   7256 290976    0    0     0     0 11079 1476695 33 13 55  0  0
19  0      0 129310704   7256 291048    0    0     0     0 11439 1477429 33 12 55  0  0
18  0      0 129310920   7256 291164    0    0     0     0 11693 1442096 33 12 55  0  0
17  0      0 129309648   7256 291212    0    0     0     0 12239 1457584 33 13 55  0  0
19  0      0 129308736   7264 291240    0    0     0    40 11697 1463893 33 13 54  0  0
17  0      0 129308704   7264 291172    0    0     0     0 10975 1479200 33 12 55  0  0
18  0      0 129308560   7264 291188    0    0     0     0 11075 1488130 32 14 54  0  0
20  0      0 129308536   7264 291192    0    0     0     0 10412 1483231 33 12 55  0  0
19  0      0 129307424   7264 291184    0    0     0     0 10553 1460546 33 13 55  0  0
18  0      0 129308432   7272 291196    0    0     0    12 11874 1446758 33 12 55  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
19  0      0 129308296   7276 291224    0    0     4    12 11411 1448559 32 13 54  0  0
21  0      0 129307976   7276 291056    0    0     0     0 11096 1429742 32 13 55  0  0
20  0      0 129307888   7276 291060    0    0     0     0 12359 1458351 33 13 55  0  0
17  0      0 129308576   7276 291020    0    0     0     0 11038 1481159 33 13 55  0  0
20  0      0 129308104   7284 291020    0    0     0    20 10826 1487578 33 13 55  0  0
19  0      0 129308792   7288 291088    0    0     4    24 10247 1503792 32 13 54  0  0
20  0      0 129309168   7288 291108    0    0     0     0 10669 1496560 33 13 55  0  0
17  0      0 129309040   7288 291148    0    0     0     0 11653 1457390 32 14 54  0  0
18  0      0 129308400   7288 291148    0    0     0     0 10930 1463941 33 13 55  0  0
16  0      0 129308184   7432 291152    0    0   140    20 11495 1476345 33 13 54  0  0
17  0      0 129307976   7700 290868    0    0   272     0 10467 1464771 33 13 54  0  0
19  0      0 129308432   7700 291096    0    0     0    24 11377 1482563 33 13 54  0  0
17  0      0 129308464   7700 291064    0    0     0     0 11797 1437548 32 13 55  0  0
17  0      0 129308032   7700 291056    0    0     0     0 11898 1459217 33 13 55  0  0
20  0      0 129308104   7708 291108    0    0     0    20 10912 1454938 33 12 55  0  0
19  0      0 129308360   7708 291044    0    0     0     0 11362 1466854 33 13 55  0  0
17  0      0 129308512   7708 291016    0    0     0    16 10363 1455975 33 13 54  0  0
21  0      0 129308944   7844 290984    0    0   136     0 11716 1449313 33 12 55  0  0
22  0      0 129308704   7972 290868    0    0   128     0 11690 1458315 33 13 55  0  0
17  0      0 129308400   7980 290968    0    0     0    16 11193 1452066 33 12 55  0  0
20  0      0 129308128   7980 290824    0    0     0     0 33633 1449435 33 13 54  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  0      0 129308304   7980 290768    0    0     0     0 55184 1461090 32 13 54  0  0
17  0      0 129308824   7988 290784    0    0     4    24 49617 1437491 32 13 54  0  0
16  0      0 129308208   7988 290832    0    0     0     0 55978 1446148 33 13 55  0  0
20  0      0 129307760   7996 290792    0    0     0    32 12292 1457467 33 13 55  0  0
17  0      0 129308352   7996 290832    0    0     0     0 11983 1447462 33 13 55  0  0
18  0      0 129308672   7996 290912    0    0     0     0 11884 1462490 32 13 54  0  0
17  0      0 129309184   7996 290912    0    0     0    20 12040 1453743 32 13 55  0  0
22  0      0 129309168   7996 290916    0    0     0     0 12202 1444025 33 13 55  0  0
17  0      0 129309280   8004 290920    0    0     0    24 11764 1456712 32 13 54  0  0
20  0      0 129308560   8004 290924    0    0     0     0 11342 1463647 33 13 54  0  0
20  0      0 129308272   8004 290952    0    0     0     0 11274 1487303 32 13 55  0  0
17  0      0 129307904   8004 290972    0    0     0     0 10602 1488835 33 13 54  0  0
18  0      0 129306640   8008 290984    0    0     4    24 10891 1470980 32 13 54  0  0
17  0      0 129307040   8016 290968    0    0     0    24 10783 1468000 33 12 55  0  0
21  0      0 129308224   8016 290928    0    0     0     0 11170 1469954 33 12 55  0  0
18  0      0 129308336   8016 290948    0    0     0     0 10747 1480762 33 12 55  0  0
19  0      0 129305168   9544 291080    0    0  2120    28 12073 1468853 33 13 53  1  0
20  0      0 129306040   9544 291624    0    0     0    40 11179 1454877 33 12 54  0  0
19  0      0 129305216   9544 291600    0    0     0     0 11149 1479290 33 13 54  0  0
18  0      0 129304976   9544 291604    0    0     0     0 10838 1464976 33 12 55  0  0
18  0      0 129304920   9544 291576    0    0     0     0 11103 1468982 32 13 55  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
19  1      0 129305432   9548 291580    0    0     0    44 10255 1476736 33 12 55  0  0
17  0      0 129304848   9552 291648    0    0     0     0 11202 1478926 33 12 54  0  0
17  0      0 129305136   9552 291680    0    0     0    48 11052 1454698 33 13 54  0  0
19  0      0 129305232   9552 291712    0    0     0     0 12024 1460328 33 13 55  0  0
18  0      0 129305176   9552 291716    0    0     0     0 11111 1461950 33 13 55  0  0
20  0      0 129304704   9552 291704    0    0     0     0 11337 1457697 33 12 54  0  0
18  0      0 129306456   9560 292152    0    0   440    24 11131 1442006 32 13 54  0  0
18  0      0 129306240   9560 292124    0    0     0    12 12584 1460252 32 13 55  0  0
18  0      0 129306576   9560 292148    0    0     0     0 11099 1467223 32 13 55  0  0
20  0      0 129306032   9560 292092    0    0     0     0 11675 1456745 33 13 54  0  0
20  0      0 129306544   9560 292120    0    0     0     0 11659 1458850 33 13 54  0  0
18  0      0 129307776   9568 292152    0    0     0    24 11749 1470881 33 13 54  0  0
19  0      0 129306736   9568 292164    0    0     0     0 10229 1481153 33 12 55  0  0
20  0      0 129307520   9568 292200    0    0     0    24 11718 1486176 33 12 55  0  0
20  0      0 129307392   9568 292224    0    0     0     0 12142 1477561 32 13 55  0  0
18  0      0 129307280   9568 292224    0    0     0     0 10917 1491665 33 12 55  0  0
18  0      0 129307400   9576 292208    0    0     0    12 12099 1463192 33 13 54  0  0
18  0      0 129308048   9576 292208    0    0     0     0 11226 1474336 32 13 55  0  0
17  0      0 129308000   9580 292256    0    0     4    12 10791 1484207 32 14 54  0  0
19  0      0 129307776   9580 292240    0    0     0     0 10053 1488607 33 13 55  0  0
17  0      0 129307664   9580 292240    0    0     0     0 10623 1481031 33 13 55  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
