procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  2      0 129327080   4740 287092    0    0     1     4   13    5  2  1 97  0  0
 0  2      0 129315264   5588 292308    0    0  5080   508 7763 26672  1  1 96  3  0
 0  2      0 129312864   5800 292560    0    0     4  1272 4151 18933  1  0 96  3  0
 0  1      0 129312056   5976 292664    0    0     0  1512 3963 16960  1  0 96  3  0
 0  3      0 129310792   6176 292660    0    0     0  1720 3578 13298  0  0 96  3  0
 0  2      0 129310488   6336 292960    0    0     0  1640 3634 16739  1  0 96  3  0
 0  1      0 129310032   6520 292960    0    0     0  1620 4033 19041  1  0 96  3  0
 0  1      0 129310016   6672 293128    0    0     0  1252 3461 16709  0  0 96  3  0
 0  1      0 129309104   6848 293048    0    0     0  1492 3778 17068  1  0 96  3  0
 0  1      0 129309080   7032 293460    0    0     0  1388 3689 19051  1  0 96  3  0
 0  1      0 129308080   7208 293592    0    0     0  1344 3548 16721  1  0 96  3  0
 0  1      0 129307312   7376 293680    0    0     0  1232 3796 15251  1  0 96  3  0
 0  3      0 129306336   7548 293688    0    0     0  1436 8392 17144  1  0 96  3  0
 0  1      0 129306112   7720 293884    0    0     0  1472 6939 18334  1  0 96  3  0
 0  1      0 129305864   7896 293844    0    0     0  1296 4897 16032  1  0 96  3  0
 0  1      0 129305104   8072 294036    0    0     0  1236 3623 12355  1  0 96  3  0
 0  1      0 129304368   8264 294056    0    0     0  1128 3922 19015  1  0 96  3  0
 0  1      0 129304152   8440 294096    0    0     0  1124 3567 15102  1  0 96  3  0
 0  1      0 129303440   8600 294224    0    0     0   928 3694 15113  1  0 96  3  0
 0  1      0 129302952   8808 294224    0    0     0  1076 3521 14045  1  0 96  3  0
 1  1      0 129302864   8992 294272    0    0     0  1076 3736 18700  1  0 96  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 129302224   9176 294232    0    0     0  1016 3563 18454  1  0 96  3  0
 0  1      0 129301088   9360 294828    0    0     0   964 3688 13969  1  0 96  3  0
 0  1      0 129301296   9536 294932    0    0     0  1012 3583 16452  1  0 96  3  0
 0  1      0 129300792   9728 294916    0    0     0  1048 3766 17053  1  0 96  3  0
 1  2      0 129301232   9920 295188    0    0     0  1144 3744 18432  1  0 96  3  0
 0  1      0 129301496  10096 295184    0    0     0   996 3663 15845  1  0 96  3  0
 0  2      0 129301296  10264 295136    0    0     0   948 3549 17045  1  0 96  3  0
 0  2      0 129300576  10448 295340    0    0     0  1172 3708 17006  1  0 96  3  0
 0  1      0 129300400  10760 295236    0    0   136  1032 3489 12807  0  0 96  3  0
 2  1      0 129299312  10936 295456    0    0     0   916 3552 14971  1  0 96  3  0
 0  1      0 129298560  11112 295424    0    0     0  1140 3578 17077  1  0 96  3  0
 0  3      0 129298696  11296 295864    0    0     0  1276 3708 16993  1  0 96  3  0
 0  2      0 129298568  11484 296024    0    0     0  1180 3730 19199  1  0 96  3  0
 0  2      0 129298560  11676 296160    0    0     0  1292 3751 19209  1  0 96  3  0
 0  1      0 129298032  11860 295988    0    0     0  1292 3653 14947  1  0 96  3  0
 0  2      0 129297904  12044 296204    0    0     0  1032 3903 16569  1  0 96  3  0
 0  1      0 129297696  12356 296292    0    0   136  1208 3667 18710  1  0 96  3  0
 0  1      0 129298152  12524 296248    0    0     0  1232 3724 17072  1  0 96  3  0
 0  1      0 129297760  12692 296328    0    0     0  1280 3610 15296  1  0 96  3  0
 0  2      0 129297904  12888 296260    0    0     0  1212 3776 18986  1  0 96  3  0
 0  1      0 129298216  13084 296632    0    0     0  1072 3767 19632  1  0 96  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  1      0 129297728  13260 296724    0    0     0  1092 3705 17083  1  0 96  3  0
 0  1      0 129297368  13436 296716    0    0     0  1052 3847 16803  1  0 96  3  0
 0  1      0 129296840  13628 296644    0    0     0  1100 4139 17550  1  0 97  3  0
 0  2      0 129297824  13820 296968    0    0     0  1092 4019 17141  1  0 96  3  0
 9  2      0 129297344  14004 296820    0    0     0  1156 3990 18169  1  0 96  3  0
 2  2      0 129297040  14220 296892    0    0     0  1144 3633 17418  1  0 96  3  0
 0  1      0 129297112  14380 297096    0    0     0   988 3569 16755  1  0 96  3  0
 0  1      0 129296960  14572 297216    0    0     0  1120 3677 17505  1  0 96  3  0
 0  1      0 129296632  14776 297296    0    0     4  2100 3724 19105  1  0 96  3  0
 0  2      0 129296768  14968 297440    0    0     0  1032 3608 15568  1  0 96  3  0
 0  1      0 129296272  15136 297496    0    0     0   992 3574 16952  1  0 96  3  0
 0  1      0 129296112  15300 297372    0    0     4   996 3596 15301  0  0 96  3  0
 0  1      0 129294992  15492 297768    0    0     0  1092 3750 18755  1  0 96  3  0
 0  1      0 129294736  15676 297896    0    0     0  1228 3524 18932  0  0 96  3  0
 0  1      0 129295584  15868 297520    0    0     0  1100 3734 16879  1  0 96  3  0
 0  1      0 129294168  16068 297812    0    0     0   904 3565 17274  0  0 96  3  0
 0  1      0 129294664  16252 298000    0    0     0   948 3676 16920  1  0 96  3  0
 0  2      0 129294032  16436 298124    0    0     0  1092 3589 18848  1  0 96  3  0
 0  1      0 129293760  16636 298020    0    0     0  1024 3781 17327  1  0 96  3  0
 0  2      0 129293152  16812 298288    0    0     0   956 3559 17255  1  0 96  3  0
 0  1      0 129292944  17004 298292    0    0     0  1112 3609 17034  0  0 96  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 129292744  17172 298388    0    0     0  1068 3640 16998  1  0 96  3  0
 0  2      0 129292752  17356 298308    0    0     0  1064 3676 17319  1  0 96  3  0
 0  2      0 129292432  17548 298660    0    0     0  1144 3473 16973  1  0 96  3  0
 1  1      0 129292512  17724 298632    0    0     0  1400 3670 18823  1  0 96  3  0
 0  1      0 129292880  17900 298528    0    0     0  1208 3583 17085  1  0 96  3  0
 0  1      0 129291856  18084 299036    0    0     0  1196 3544 16917  0  0 96  3  0
 0  2      0 129291856  18268 299056    0    0     0  1372 3460 17362  0  0 97  3  0
 0  1      0 129291512  18452 299220    0    0     0  1164 3787 17329  1  0 96  3  0
 0  1      0 129292072  18636 299288    0    0     0   944 3597 18550  1  0 96  3  0
 0  1      0 129291800  18812 299260    0    0     0   868 3606 17317  0  0 96  3  0
 2  1      0 129291632  18988 299252    0    0     0   984 3439 16714  0  0 96  3  0
 0  1      0 129290304  19156 299592    0    0     0  1260 3472 12889  0  0 97  3  0
 0  2      0 129289520  19356 299724    0    0     0  1148 3588 17477  1  0 96  3  0
 0  2      0 129289864  19548 299852    0    0     0  1060 3674 19009  1  0 96  3  0
 0  1      0 129288720  19852 299700    0    0   140   936 3664 16978  1  0 96  3  0
 1  3      0 129289264  20020 300112    0    0     8  1000 3635 17064  0  0 96  3  0
 1  1      0 129289176  20208 300200    0    0     0  1152 3672 18887  1  0 96  3  0
 0  1      0 129288448  20400 300104    0    0     0  1140 3724 19033  1  0 96  3  0
 1  1      0 129288472  20584 299936    0    0     0  1112 3508 18794  1  0 96  3  0
 0  1      0 129288304  20768 300352    0    0     0   976 3642 17071  1  0 96  3  0
 0  1      0 129287632  20968 300468    0    0     0  1272 3575 17330  1  0 96  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  2      0 129287024  21152 300316    0    0     0  1128 3719 17271  1  0 96  3  0
 0  2      0 129286808  21336 300760    0    0     0  1224 3482 18590  1  0 96  3  0
 0  1      0 129287360  21512 300616    0    0     0  1104 3433 12659  0  0 97  3  0
 0  3      0 129286656  21704 300660    0    0     0  1276 4085 17312  1  0 96  3  0
 0  2      0 129287232  21888 300656    0    0     0  1104 4221 17434  1  0 96  3  0
 0  3      0 129286936  22068 300776    0    0     0  1188 3638 17059  1  0 96  3  0
 0  1      0 129286704  22256 300804    0    0     0  1200 3668 18663  1  0 96  3  0
 0  1      0 129287200  22432 301016    0    0     0  1156 3609 17068  1  0 96  3  0
 0  1      0 129286928  22616 300988    0    0     0  1140 3615 17011  1  0 96  3  0
 0  1      0 129287448  22792 300928    0    0     0  1452 3451 14992  0  0 97  3  0
 0  2      0 129286432  22976 301260    0    0     0  1368 3829 19072  1  0 96  3  0
 0  1      0 129286400  23144 301460    0    0     0  1272 3436 18546  1  0 96  3  0
 0  1      0 129285792  23344 301532    0    0     0  1200 3516 14952  1  0 96  3  0
 0  3      0 129286176  23516 301556    0    0     0   976 3501 15297  1  0 96  3  0
 1  1      0 129284944  23696 301692    0    0     0  1340 3841 19110  1  0 96  3  0
 0  1      0 129284816  23876 301712    0    0     4  1156 3452 16787  0  0 96  3  0
 0  1      0 129284720  24060 301940    0    0     0  1052 3601 17142  1  0 96  3  0
 0  2      0 129283808  24264 301956    0    0     4  2048 3610 15457  0  0 96  3  0
 0  1      0 129284336  24456 302028    0    0     0  1080 3673 19101  1  0 96  3  0
 4  0      0 129283888  24640 302072    0    0     0  1044 3558 17007  1  0 96  3  0
 1  1      0 129284272  24800 302208    0    0     0   960 3510 16644  0  0 96  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 129283024  24984 302384    0    0     0  1056 3631 17231  1  0 96  3  0
 1  2      0 129282928  25176 302404    0    0     0  1168 3757 17553  1  0 96  3  0
 0  1      0 129283792  25368 302412    0    0     0  1044 3629 18751  1  0 96  3  0
 0  1      0 129282696  25560 302524    0    0     0  1072 3798 17033  1  0 96  3  0
 0  1      0 129282192  25716 302464    0    0     4  2140 3510 16293  1  0 96  3  0
 0  1      0 129281472  25908 302796    0    0     0  1116 3704 16251  1  0 96  3  0
 2  1      0 129281048  26108 302820    0    0     0  1068 3855 17389  1  0 96  3  0
 0  2      0 129280792  26284 303052    0    0     0  1036 3911 17249  1  0 96  3  0
 0  1      0 129281096  26476 302948    0    0     0  1064 3604 17040  0  0 96  3  0
 0  1      0 129279232  26632 303292    0    0     4  1160 3670 16971  0  0 96  3  0
 0  1      0 129278344  26816 303348    0    0     0   956 3666 17136  0  0 96  3  0
 0  2      0 129277760  27024 303432    0    0     0  1016 3841 17345  1  0 96  3  0
 0  1      0 129277424  27216 303496    0    0     0   992 3608 17147  1  0 96  3  0
 0  1      0 129276272  27408 303600    0    0     0   948 3790 17477  1  0 96  3  0
 0  1      0 129277288  27600 303548    0    0     0  1136 3554 18902  1  0 96  3  0
 1  1      0 129276848  27776 303472    0    0     0  2028 3776 17081  1  0 96  3  0
 0  1      0 129276544  27960 303852    0    0     0  1180 3575 17005  1  0 96  3  0
 1  1      0 129275792  28136 303900    0    0     0  1080 3740 17094  1  0 96  3  0
 0  1      0 129275048  28320 303780    0    0     0  1088 3497 16747  1  0 96  3  0
 0  1      0 129274224  28504 304152    0    0     0   940 3641 17346  0  0 96  3  0
 0  1      0 129272240  28688 304320    0    0     0  1096 3550 17118  1  0 96  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 129271504  28864 304460    0    0     0   936 3665 15277  1  0 96  3  0
 0  1      0 129270688  29052 304376    0    0     4  2064 3519 17317  1  0 96  3  0
 0  1      0 129269560  29236 304424    0    0     0   964 3636 18880  1  0 96  3  0
 0  2      0 129269568  29428 304356    0    0     0  1024 3670 16970  1  0 96  3  0
 0  1      0 129268504  29596 304828    0    0     0  1092 3696 16710  1  0 96  3  0
 0  1      0 129268176  29748 304896    0    0     0   888 3801 15298  0  0 96  3  0
 0  1      0 129268288  29932 305012    0    0     0   908 3719 17176  1  0 96  3  0
 0  1      0 129267816  30124 304964    0    0     0  1060 3541 17348  0  0 97  3  0
 0  1      0 129267128  30316 305204    0    0     0   928 3664 17482  1  0 96  3  0
 0  1      0 129266256  30492 305152    0    0     0   948 3429 14927  0  0 97  3  0
 0  2      0 129265664  30668 305348    0    0     0   968 3737 17250  1  0 96  3  0
 0  1      0 129265136  30840 305540    0    0     4  2088 3549 16805  1  0 96  3  0
 0  1      0 129265496  31024 305476    0    0     0  1148 3761 17164  1  0 96  3  0
 0  1      0 129265680  31208 305388    0    0     0  1064 3610 18571  1  0 96  3  0
 0  1      0 129264688  31376 305768    0    0     0  1068 3456 16657  1  0 96  3  0
 0  1      0 129264776  31568 305940    0    0     0  1072 3536 17153  1  0 96  3  0
 0  1      0 129264928  31760 305872    0    0     0   960 3935 17281  1  0 96  3  0
 0  1      0 129264280  31952 306200    0    0     0  1288 3743 18893  1  0 96  3  0
 0  1      0 129263240  32124 306256    0    0     4  2080 3600 16898  1  0 96  3  0
 0  1      0 129263872  32284 306472    0    0     0   916 3555 13270  0  0 97  3  0
 0  1      0 129263312  32484 306552    0    0     0  1320 3884 18834  1  0 96  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  2      0 129263192  32676 306456    0    0     0  1056 3636 17023  1  0 96  3  0
 2  2      0 129261808  32868 306780    0    0     0   932 3517 16811  1  0 96  3  0
 0  2      0 129261520  33060 306756    0    0     0  1076 3660 17078  1  0 96  3  0
 0  1      0 129261120  33228 306908    0    0     0  1012 3705 16989  1  0 96  3  0
 0  1      0 129261120  33436 306876    0    0     0  1140 3744 18998  1  0 96  3  0
 0  2      0 129259928  33628 307424    0    0     0  1072 3715 17532  1  0 96  3  0
 0  1      0 129258528  33812 307536    0    0     0  1036 3723 18733  1  0 96  3  0
 1  1      0 129258320  33996 307620    0    0     0  1272 3768 19042  1  0 96  3  0
 0  2      0 129257728  34188 307524    0    0     0  1116 3573 16867  1  0 96  3  0
 0  2      0 129257584  34364 307400    0    0     0  1092 3517 17007  1  0 96  3  0
 0  1      0 129257504  34564 307864    0    0     0  1024 3676 17050  1  0 96  3  0
 0  1      0 129257552  34756 308056    0    0     0  1000 3696 19149  1  0 96  3  0
 0  1      0 129257264  34932 308104    0    0     0  1028 3536 18297  1  0 96  3  0
 0  1      0 129257072  35124 308200    0    0     0  1076 3677 16264  1  0 96  3  0
 0  1      0 129256304  35308 308388    0    0     0  1100 3578 18943  1  0 96  3  0
 0  1      0 129255896  35484 308524    0    0     0  1040 3536 16974  1  0 96  3  0
 0  1      0 129256536  35676 308648    0    0     0  1024 3590 18739  1  0 96  3  0
 0  1      0 129255744  35868 308636    0    0     0   956 3619 15217  1  0 96  3  0
 0  1      0 129255632  36060 308556    0    0     0  1060 4340 19114  1  0 96  3  0
 0  1      0 129255376  36220 308444    0    0     0  1024 3448 16738  0  0 96  3  0
 1  1      0 129254184  36428 309072    0    0     0  1004 3747 17596  1  0 96  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  2      0 129253312  36628 309156    0    0     0  1144 3597 17128  1  0 96  3  0
 0  1      0 129253560  36812 309136    0    0     0  1036 3636 18750  1  0 96  3  0
 0  1      0 129253704  37004 309312    0    0     0  1080 3603 17417  1  0 96  3  0
 0  2      0 129252832  37188 309396    0    0     0   936 3680 14985  1  0 96  3  0
 0  2      0 129252112  37388 309492    0    0     0  1092 3615 19263  1  0 96  3  0
 0  1      0 129252256  37564 309420    0    0     0  1164 3604 17046  1  0 96  3  0
 0  2      0 129251376  37748 309696    0    0     0  1036 3775 17647  0  0 96  3  0
 0  3      0 129251728  37932 309720    0    0     0  1036 3605 16978  0  0 96  3  0
 0  1      0 129251160  38124 309704    0    0     4  1044 3607 16956  0  0 96  3  0
 3  1      0 129250816  38316 309868    0    0     0  1100 3882 17218  1  0 96  3  0
 0  1      0 129250712  38508 309864    0    0     0   956 3792 17302  1  0 96  3  0
 0  1      0 129250192  38692 310144    0    0     0  1080 3627 17361  1  0 96  3  0
 1  1      0 129250472  38884 310248    0    0     0  1108 3663 18989  1  0 96  3  0
 0  1      0 129250200  39052 310356    0    0     0   968 3610 16733  1  0 96  3  0
