procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  3      0 129399312   4420 289484    0    0     1     4    2   10  1  0 98  0  0
 0  1      0 129395472   4604 289588    0    0    36   664 3684 9307  0  0 96  3  0
 0  1      0 129394160   4820 289560    0    0     0   604 3717 9779  0  0 97  3  0
 0  1      0 129394600   5028 289580    0    0     0   760 3929 10920  0  0 97  3  0
 0  1      0 129393296   5212 289676    0    0     8   960 3617 9382  0  0 97  3  0
 0  1      0 129392336   5396 289772    0    0     0   988 3386 7863  0  0 97  3  0
 0  3      0 129392504   5588 289668    0    0     0  1016 3488 9403  0  0 97  3  0
 2  1      0 129392256   5764 289616    0    0     0  1256 3643 9896  0  0 97  3  0
 0  1      0 129391040   5932 290016    0    0     0  1120 3547 9613  0  0 97  3  0
 0  1      0 129390664   6108 290060    0    0     0  1188 3467 9702  0  0 96  3  0
 0  1      0 129389792   6276 289996    0    0     0  1288 3412 9413  0  0 97  3  0
 0  1      0 129388288   6468 290276    0    0     0  1348 3738 10723  0  0 97  3  0
 0  2      0 129387856   6652 290512    0    0     0  1116 3384 8717  0  0 97  3  0
 0  1      0 129387896   6836 290432    0    0     0  1260 3353 8062  0  0 96  3  0
 1  1      0 129388160   7004 290604    0    0     0  1112 3231 8229  0  0 97  3  0
 0  1      0 129387552   7172 290588    0    0     0  1108 3664 9635  0  0 96  3  0
 0  1      0 129387648   7348 290740    0    0     0  1068 3658 10202  0  0 96  3  0
 0  1      0 129386384   7548 290644    0    0     0  1032 3476 8808  0  0 97  3  0
 0  2      0 129385664   7748 290852    0    0     0  1184 4606 8591  0  0 97  3  0
 0  1      0 129385456   7936 290792    0    0     4  1156 3842 9388  0  0 96  3  0
 0  1      0 129384912   8112 291008    0    0     0  2208 3854 10557  0  0 96  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1      0 129382400   8296 291068    0    0     0  1064 3988 10345  0  0 96  3  0
 0  2      0 129382160   8496 291272    0    0     0  1160 3599 9585  0  0 97  3  0
