procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  2      0 129516592   6228 282312    0    0     1     3    6   12  0  0 100  0  0
19  1      0 129507360   6884 286200    0    0  2460  8816 19692 901795 23  8 66  2  0
19  0      0 129505504   6992 286208    0    0    16 16764 12094 1384275 33 13 53  1  0
21  0      0 129504872   7104 286224    0    0    12 17372 12860 1386036 34 12 52  1  0
20  1      0 129505488   7220 286188    0    0     8 17068 16701 1383860 34 12 53  1  0
18  1      0 129504856   7324 286268    0    0     8 15600 12037 1393563 34 12 52  1  0
18  0      0 129504768   7432 286328    0    0    12 16824 13845 1408241 34 13 52  1  0
19  1      0 129504736   7544 286392    0    0     8 16528 20565 1397451 34 12 53  1  0
17  1      0 129504976   7660 286416    0    0    20 16316 20783 1407381 34 13 52  1  0
18  1      0 129506000   7756 286416    0    0     4 15080 13500 1393420 34 12 53  1  0
18  0      0 129505360   7884 286460    0    0     0  7612 15679 1394735 34 12 53  1  0
20  0      0 129505136   8156 286188    0    0   264    20 11642 1394339 33 13 55  0  0
19  0      0 129504976   8156 286444    0    0     0   180 11823 1421234 33 13 54  0  0
19  0      0 129503656   8296 286428    0    0   140     0 12976 1409231 33 12 55  0  0
20  0      0 129503056   8296 286420    0    0     0     0 13102 1427724 33 13 55  0  0
19  0      0 129502576   8296 286400    0    0     0     0 11571 1453223 33 13 55  0  0
17  0      0 129502408   8304 286424    0    0     0    12 11887 1446995 33 13 55  0  0
18  0      0 129501760   8304 286448    0    0     0     0 12024 1417248 33 13 55  0  0
22  0      0 129500800   8308 286420    0    0     4    12 12701 1435499 32 13 55  0  0
16  0      0 129500408   8308 286428    0    0     0     0 12339 1461665 33 12 55  0  0
18  0      0 129501192   8308 286404    0    0     0     0 13291 1445335 33 12 55  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17  0      0 129500992   8316 286372    0    0     0    20 12386 1431129 32 13 55  0  0
17  0      0 129500680   8316 286432    0    0     0     0 13031 1422113 33 13 55  0  0
18  0      0 129501408   8320 286472    0    0     4    24 11290 1439437 33 12 54  0  0
20  0      0 129500704   8320 286560    0    0     0     0 12163 1436174 33 13 55  0  0
20  0      0 129500320   8320 286704    0    0     0     0 12108 1446256 33 13 55  0  0
21  0      0 129500768   8328 286680    0    0     0    20 12625 1421352 32 13 55  0  0
22  0      0 129500016   8328 286664    0    0     0     0 11937 1412404 33 12 55  0  0
18  0      0 129501056   8328 286656    0    0     0     0 12546 1423579 33 12 55  0  0
20  0      0 129500960   8328 286768    0    0     0    16 11887 1423006 33 13 54  0  0
16  0      0 129500208   8328 286772    0    0     0     0 11122 1462053 33 13 55  0  0
17  0      0 129501016   8336 286828    0    0     0    12 11816 1433896 33 12 54  0  0
21  0      0 129501768   8336 286748    0    0     0     0 11496 1447520 33 12 55  0  0
20  0      0 129501768   8344 286868    0    0     8     0 11247 1443549 33 12 55  0  0
17  0      0 129501000   8356 286856    0    0     8    16 10254 1425388 33 12 55  0  0
17  0      0 129501776   8356 286916    0    0     0     0 11219 1451104 33 12 54  0  0
21  0      0 129501776   8364 286924    0    0     0    32 21764 1432391 33 12 55  0  0
