procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  2      0 129515456   4432 284268    0    0     1     3   15   12  1  0 99  0  0
 0  1      0 129502720   5160 288904    0    0  5048   428 8617 24958  1  1 95  3  0
 1  1      0 129500504   5496 288960    0    0   140   860 3954 13593  1  0 96  3  0
 0  1      0 129500240   5676 288984    0    0    12   912 3563 14617  1  0 96  3  0
 0  2      0 129499440   5856 289136    0    0    12  1160 3620 15144  1  0 96  3  0
 0  2      0 129498688   6044 289064    0    0     0  1316 3720 15377  0  0 97  3  0
 0  3      0 129498304   6240 289348    0    0     8  1320 3779 16841  1  0 96  3  0
 0  1      0 129497632   6408 289484    0    0     0  1132 3792 14638  1  0 96  3  0
 0  1      0 129496896   6588 289596    0    0     4  1272 3668 16595  1  0 96  3  0
 0  1      0 129495296   7036 289636    0    0   272  1248 3895 15953  1  0 96  3  0
 0  1      0 129495024   7220 289800    0    0     0  1332 3621 16770  1  0 96  3  0
 0  1      0 129495160   7412 289764    0    0     0  1140 3753 17503  1  0 96  3  0
 0  2      0 129496256   7572 289940    0    0     0   996 3518 15176  1  0 96  3  0
 0  1      0 129495328   7748 290116    0    0     0  1192 4156 18883  1  1 96  3  0
 0  1      0 129494048   7924 290328    0    0     0  1224 3611 17022  0  0 96  3  0
 0  1      0 129493552   8080 290380    0    0     4  1448 3884 17381  1  0 96  4  0
 0  1      0 129493256   8256 290180    0    0     0  1388 3480 12710  0  0 96  3  0
 0  1      0 129493376   8408 290176    0    0     0  1232 3470 14508  0  0 96  3  0
 0  2      0 129492960   8600 290232    0    0     0  1380 3543 16675  1  0 96  3  0
 1  1      0 129492832   8768 290436    0    0     0  1288 3734 17329  1  0 96  3  0
 0  2      0 129492336   8948 290424    0    0     4  1216 3534 15018  1  0 96  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 129491696   9116 290660    0    0     0  1232 3609 13095  1  0 96  3  0
 0  1      0 129491064   9416 290824    0    0   136  1128 3596 18371  1  0 96  3  0
 0  1      0 129490040   9604 290788    0    0     8  1044 3867 17026  1  0 96  3  0
 0  1      0 129489472   9780 291004    0    0     0  1036 3613 13281  1  0 96  3  0
 0  3      0 129489840   9956 290996    0    0     0  1204 3436 14489  1  0 96  3  0
 1  3      0 129489704  10116 291088    0    0     0   976 3569 15011  0  0 96  3  0
 0  2      0 129489776  10284 291216    0    0     0  1156 3883 17080  1  0 96  3  0
 0  1      0 129489808  10460 291368    0    0     0  1072 3707 16906  1  0 96  3  0
 0  1      0 129489856  10656 291284    0    0     4  1124 3371 12207  0  0 96  3  0
 0  1      0 129490144  10840 291372    0    0     0   988 3611 14950  1  0 96  3  0
 0  1      0 129490416  11016 291288    0    0     0  1060 3607 17042  1  0 96  3  0
 0  2      0 129490384  11208 291588    0    0     0   880 3635 17266  1  0 96  3  0
 0  2      0 129488976  11392 291612    0    0     0  1084 3748 16769  1  0 96  3  0
 0  2      0 129488624  11576 291624    0    0     0   952 3697 18608  1  0 96  3  0
 0  1      0 129489168  11764 291700    0    0     4  1016 3744 17417  1  0 96  3  0
 0  1      0 129488592  11948 291780    0    0     0   956 3507 15103  1  0 96  3  0
 0  1      0 129487840  12148 291940    0    0     0  1000 3732 17357  1  0 96  3  0
 0  1      0 129488432  12340 291928    0    0     0   920 3590 15075  1  0 96  3  0
 0  1      0 129488808  12516 292064    0    0     0  1008 4047 17211  1  0 96  3  0
 0  2      0 129488464  12692 292120    0    0     0   912 3321 12575  0  0 97  3  0
 0  2      0 129487112  12884 292148    0    0     0  1184 3665 17273  1  0 96  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 129486872  13068 292036    0    0     0  1048 3645 17285  1  0 96  3  0
 0  1      0 129486768  13236 292352    0    0     0   784 3552 15192  0  0 96  3  0
 0  1      0 129486672  13412 292380    0    0     0   860 3691 15461  0  0 96  3  0
 0  1      0 129486432  13600 292384    0    0     4   980 3660 17273  1  0 96  3  0
 0  2      0 129486768  13800 292604    0    0     0  1000 3636 17385  1  0 96  3  0
 0  1      0 129484816  13976 292508    0    0     0   828 3683 16450  1  0 96  3  0
 0  2      0 129484704  14168 292640    0    0     0   936 3722 16865  1  0 96  3  0
 0  1      0 129484720  14348 292780    0    0     4  1148 3553 16937  1  0 96  3  0
 0  1      0 129484992  14544 293088    0    0     8  1076 3630 17253  1  0 96  3  0
 0  1      0 129484392  14720 293132    0    0     0   948 3656 15898  1  0 96  3  0
 0  1      0 129484576  14904 293296    0    0     0  1036 3663 16518  1  0 96  3  0
 0  1      0 129484512  15096 293496    0    0     0   940 3539 17148  1  0 96  3  0
 0  1      0 129484224  15284 293708    0    0     4  1064 3763 17181  1  0 96  3  0
 1  2      0 129484096  15460 293936    0    0     0  1072 3615 17264  1  0 96  3  0
 0  1      0 129483984  15620 293952    0    0     0   884 3596 15089  0  0 96  3  0
 0  1      0 129483384  15812 294076    0    0     0   956 3548 15620  1  0 96  3  0
 0  2      0 129482016  16012 294364    0    0     0  1072 3860 19368  1  0 96  3  0
 0  1      0 129481920  16172 294456    0    0     0   964 3483 14959  1  0 96  3  0
 0  1      0 129481680  16348 294412    0    0     0   964 3561 17039  1  0 96  3  0
 0  1      0 129479816  16508 294592    0    0     0   920 3570 15249  1  0 96  3  0
 0  1      0 129479264  16692 294828    0    0     0   960 3625 17220  1  0 96  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 129478992  16860 294824    0    0     0  1068 3713 15604  1  0 96  3  0
 0  2      0 129478352  17052 294988    0    0     0  1176 3696 17160  1  0 96  3  0
 0  1      0 129476928  17236 295188    0    0     0  1228 3653 16906  1  0 96  3  0
 0  1      0 129477072  17404 295196    0    0     0  1156 3634 18174  1  0 95  3  0
 0  1      0 129477832  17584 295344    0    0     0  1172 3572 17123  1  0 96  3  0
 0  1      0 129476000  17772 295496    0    0     0   992 3751 17347  1  0 96  3  0
 0  2      0 129475776  17964 295608    0    0     0   992 3550 17206  1  0 96  3  0
 0  1      0 129475312  18132 295700    0    0     0   920 3577 15173  0  0 96  3  0
 0  1      0 129474640  18308 295864    0    0     0  1068 3577 17102  1  0 96  3  0
 0  2      0 129474640  18492 295860    0    0     0  1004 3712 17144  1  0 96  3  0
 0  2      0 129473632  18668 296016    0    0     0  1016 3537 17079  1  0 96  3  0
 0  1      0 129473744  18844 296216    0    0     0  1044 3691 17134  1  0 96  3  0
 0  1      0 129472512  19020 296364    0    0     0   952 3648 15451  1  0 96  3  0
 1  1      0 129473152  19196 296472    0    0     0  1084 3578 15066  1  0 96  3  0
 1  2      0 129473136  19380 296412    0    0     0  1068 3543 18673  1  0 96  3  0
 1  1      0 129473288  19548 296624    0    0     0  1236 3691 15494  0  0 96  3  0
