procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  2      0 129609584   4912 283764    0    0     1     3    3    4  0  0 100  0  0
 0  2      0 129602672   5176 287036    0    0  1824   784 3697 13538  0  0 96  3  0
 0  1      0 129601592   5480 287172    0    0   100   948 3621 9730  0  0 97  3  0
 0  1      0 129600896   5648 287280    0    0     4   948 3264 8531  0  0 97  3  0
 0  1      0 129598976   5824 287288    0    0     0  1040 3689 10084  0  0 96  3  0
 0  1      0 129597776   6000 287300    0    0     0  1048 3594 9492  0  0 97  3  0
 0  1      0 129597904   6176 287244    0    0     0  1120 3811 10293  0  0 97  3  0
 1  1      0 129597880   6344 287168    0    0     0  1148 3499 10024  0  0 97  3  0
 0  1      0 129596960   6504 287092    0    0     0  1432 3805 9940  0  0 96  3  0
 0  1      0 129596432   6680 286980    0    0     0  1100 3558 10113  0  0 97  3  0
 1  1      0 129595120   6888 287732    0    0     0  1176 3521 9414  0  0 96  3  0
 0  2      0 129593560   7064 287896    0    0     0   988 3535 10060  0  0 97  3  0
 0  1      0 129593328   7352 287784    0    0   128   804 3519 9687  0  0 96  3  0
 0  2      0 129592664   7596 288076    0    0    68  1116 3573 10006  0  0 96  3  0
 0  3      0 129592184   7760 288156    0    0     0  1056 3569 9689  0  0 97  3  0
 0  1      0 129591600   7940 288088    0    0     0  1108 3636 10647  0  0 97  3  0
 1  1      0 129591184   8116 288324    0    0     0  1120 3391 8099  0  0 97  3  0
 1  2      0 129590224   8300 288336    0    0     0  1080 3362 10249  0  0 97  3  0
 0  1      0 129589888   8492 288364    0    0     0   916 3733 10275  0  0 97  3  0
 0  1      0 129588616   8776 288552    0    0   100   900 3487 9993  0  0 96  3  0
 0  1      0 129588456   8984 288556    0    0     0   996 3343 8941  0  0 97  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1      0 129588544   9176 288692    0    0     0   916 3554 10767  0  0 97  3  0
 0  2      0 129588800   9352 288760    0    0     0   928 3606 9527  1  0 96  3  0
 0  1      0 129588592   9544 288848    0    0     0  1148 3709 11010  0  0 97  3  0
 0  2      0 129589144   9728 288940    0    0     0   888 3611 9897  0  0 96  3  0
 0  1      0 129587536   9904 288912    0    0     0   976 3842 9731  0  0 97  3  0
 0  2      0 129586784  10096 288968    0    0     0   984 3786 10118  0  0 97  3  0
 1  1      0 129585200  10272 289180    0    0     0   956 3577 10091  0  0 96  3  0
 0  1      0 129583760  10456 289404    0    0     0   796 3651 10410  0  0 97  3  0
 0  2      0 129583200  10656 289396    0    0     0   888 3535 10286  0  0 97  3  0
 0  1      0 129582104  10832 289560    0    0     0   800 3608 10159  0  0 97  3  0
 0  1      0 129582584  11032 289744    0    0     0   832 3552 10871  0  0 96  3  0
 0  1      0 129582056  11204 289640    0    0     0   972 3636 9400  0  0 96  3  0
 0  1      0 129581824  11388 289504    0    0     0   876 3357 9291  0  0 97  3  0
 0  1      0 129580056  11572 290276    0    0     0   836 3686 9835  0  0 97  3  0
 1  1      0 129578488  11764 290452    0    0     0   856 3690 10214  0  0 96  3  0
 0  1      0 129578256  11972 290464    0    0     0   908 3419 9227  0  0 97  3  0
 0  2      0 129578400  12152 290348    0    0     4  4928 3381 9741  0  0 96  3  0
 0  2      0 129578272  12344 290200    0    0     0   836 3363 8519  0  0 97  3  0
 0  1      0 129577392  12548 290776    0    0     4   768 3609 10272  0  0 96  3  0
 0  1      0 129577008  12748 290688    0    0     0   908 3608 10786  0  0 97  3  0
 0  1      0 129577504  12948 290952    0    0     0   888 3541 9710  0  0 97  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 129576184  13124 290944    0    0     0   824 3613 9973  0  0 97  3  0
 0  1      0 129575968  13308 291296    0    0     0  5008 3490 10585  0  0 96  3  0
 0  1      0 129575520  13508 291252    0    0     0   844 3570 10199  0  0 97  3  0
 0  1      0 129575744  13692 291160    0    0     0   760 3318 8555  0  0 97  3  0
 0  1      0 129574320  13888 291504    0    0     4   872 3574 10417  0  0 97  3  0
 0  1      0 129574712  14068 291592    0    0     4   968 3332 9635  0  0 97  3  0
 0  1      0 129574416  14276 291532    0    0     0  5056 3776 10895  0  0 97  3  0
 0  1      0 129573904  14460 291416    0    0     0   864 3610 10503  0  0 96  3  0
 0  1      0 129573664  14668 291284    0    0     0   944 3777 9820  0  0 97  3  0
 0  1      0 129573224  14868 291908    0    0     0   896 3690 10384  0  0 96  3  0
 3  1      0 129572568  15064 292036    0    0    12   972 3534 10504  0  0 97  3  0
